filename,Minimax_Depth_Agent1,Minimax_Depth_Agent2,Wins_Agent1,Wins_Agent2,Draws,Agent1_Win_Rate,Agent2_Win_Rate,Draw_Rate,Minimax_Depth,Opponent,Wins_MiniMax,Wins_Random,Minimax_Win_Rate,Random_Win_Rate,Q_Agent1_Training,Q_Agent2_Training,Q_TrainingEpisodes,Wins_Q,Q_Win_Rate
minimax_vs_minimax_d4_d1.txt,4,1,100.0,0.0,0,1.0,0.0,0.0,,,,,,,,,,,
minimax_vs_minimax_d4_d2.txt,4,2,50.0,0.0,50,0.5,0.0,0.5,,,,,,,,,,,
minimax_vs_minimax_d4_d3.txt,4,3,50.0,0.0,50,0.5,0.0,0.5,,,,,,,,,,,
minimax_vs_random.txt,,,,,0,,,0.0,3,Random,100,0,1.0,0.0,,,,,
qlearning_vs_qlearning_1000_20000.txt,,,46.0,54.0,0,0.46,0.54,0.0,,,,,,,1000,20000,,,
minimax_vs_minimax_d4_d5.txt,4,5,50.0,0.0,50,0.5,0.0,0.5,,,,,,,,,,,
minimax_vs_minimax_d2_d3.txt,2,3,50.0,50.0,0,0.5,0.5,0.0,,,,,,,,,,,
minimax_vs_minimax_d2_d1.txt,2,1,0.0,50.0,50,0.0,0.5,0.5,,,,,,,,,,,
qlearning_vs_qlearning_1000_10000.txt,,,47.0,53.0,0,0.47,0.53,0.0,,,,,,,1000,10000,,,
minimax_vs_minimax_d2_d5.txt,2,5,0.0,0.0,100,0.0,0.0,1.0,,,,,,,,,,,
minimax_vs_minimax_d2_d4.txt,2,4,0.0,50.0,50,0.0,0.5,0.5,,,,,,,,,,,
qlearning_vs_qlearning_1000_5000.txt,,,48.0,52.0,0,0.48,0.52,0.0,,,,,,,1000,5000,,,
minimax_vs_minimax_d5_d3.txt,5,3,50.0,0.0,50,0.5,0.0,0.5,,,,,,,,,,,
minimax_vs_minimax_d5_d2.txt,5,2,0.0,0.0,100,0.0,0.0,1.0,,,,,,,,,,,
minimax_vs_minimax_d5_d1.txt,5,1,50.0,0.0,50,0.5,0.0,0.5,,,,,,,,,,,
qlearning_vs_qlearning_5000_1000.txt,,,46.0,54.0,0,0.46,0.54,0.0,,,,,,,5000,1000,,,
minimax_vs_minimax_d5_d4.txt,5,4,0.0,50.0,50,0.0,0.5,0.5,,,,,,,,,,,
qlearning_vs_qlearning_5000_10000.txt,,,52.0,48.0,0,0.52,0.48,0.0,,,,,,,5000,10000,,,
minimax_vs_minimax_d1_d4.txt,1,4,0.0,100.0,0,0.0,1.0,0.0,,,,,,,,,,,
minimax_vs_minimax_d3_d1.txt,3,1,50.0,50.0,0,0.5,0.5,0.0,,,,,,,,,,,
minimax_vs_minimax_d1_d5.txt,1,5,0.0,50.0,50,0.0,0.5,0.5,,,,,,,,,,,
minimax_vs_minimax_d3_d2.txt,3,2,50.0,50.0,0,0.5,0.5,0.0,,,,,,,,,,,
minimax_vs_qlearning.txt,,,,,0,,,0.0,3,,100,,1.0,,,,5000,0,0.0
minimax_vs_minimax_d1_d2.txt,1,2,50.0,0.0,50,0.5,0.0,0.5,,,,,,,,,,,
minimax_vs_minimax_d1_d3.txt,1,3,50.0,50.0,0,0.5,0.5,0.0,,,,,,,,,,,
minimax_vs_minimax_d3_d4.txt,3,4,0.0,50.0,50,0.0,0.5,0.5,,,,,,,,,,,
qlearning_vs_qlearning_5000_20000.txt,,,42.0,58.0,0,0.42,0.58,0.0,,,,,,,5000,20000,,,
minimax_vs_minimax_d3_d5.txt,3,5,0.0,50.0,50,0.0,0.5,0.5,,,,,,,,,,,
